hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.item	Answer.target_property	Answer.target_position	Answer.left_items	Answer.middle_items	Answer.right_items	Answer.position_chosen	Answer.items_chosen	Answer.target_frequency	Answer.familiarization_cond	Answer.participant_response_type_condition	Answer.participant_feature_count_condition	Answer.linguistic_framing_condition	Answer.target_filler_sequence_condition	Answer.question_type_condition	Answer.manip_check_target	Answer.manip_check_dist	Answer.manip_check_foil	Answer.name_check_correct	Answer.choice	Answer.choice_correct	Answer.money_allocated_to_foil	Answer.money_allocated_to_target	Answer.money_allocated_to_logical	Answer.Likert_value_foil	Answer.Likert_value_target	Answer.Likert_value_logical	Answer.about	Answer.comment	Answer.age	Answer.gender	Answer.scale_and_levels_condition	Answer.familiarization_present_in_study	Answer.top_question_order	Answer.middle_question_order	Answer.bottom_question_order	Answer.image_version	Answer.color_salience	Answer.hand_position
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3L4D84MILZT6980NYYW0HLKD494JHL	AF57BU0TR8WR3	Submitted	Tue Jun 09 15:01:54 PDT 2015	Mon Jun 08 15:01:15 PDT 2015	Mon Jun 08 15:01:54 PDT 2015						"""lunchbox"""	"""cookie2"""	"""right"""	""""""	"""apple2,cookie1,"""	"""cookie1,"""	"""middle"""	"""apple2,cookie1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""lunchboxes"""	"""nope"""	"""23"""	"""m"""	9	0	1	0	2	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3XM0HYN6NK0QB9CJ3ATETE9CLSIPEB	A1MXU3PRR18JDY	Submitted	Tue Jun 09 15:02:05 PDT 2015	Mon Jun 08 15:00:52 PDT 2015	Mon Jun 08 15:02:05 PDT 2015						"""plate"""	"""spoon2"""	"""middle"""	"""fork2,spoon1,"""	"""spoon1,"""	undefined	"""middle"""	"""spoon1,"""	0	-1	0	1	15	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Doubled_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""How we perceive what someone else would call something?"""	""""""	"""31"""	"""m"""	10	0	2	1	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3KOPY89HM83RF0TOJD7YDRJ3L4MJ3E	A13TYYTK5MARJ1	Submitted	Tue Jun 09 15:02:06 PDT 2015	Mon Jun 08 15:00:20 PDT 2015	Mon Jun 08 15:02:06 PDT 2015						"""plate"""	"""fork1"""	"""right"""	"""fork1,"""	"""fork1,"""	"""fork1,fork2,"""	"""middle"""	"""fork1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Bob collecting plates and me determining what utensils are present on each plate."""	"""No."""	"""22"""	"""m"""	9	0	2	1	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3KKG4CDWKIZNRKZJXFL4Y2X63Z749Q	A3PHS5G9JVMPQK	Submitted	Tue Jun 09 15:02:21 PDT 2015	Mon Jun 08 15:01:11 PDT 2015	Mon Jun 08 15:02:21 PDT 2015						"""house"""	"""bicycle1"""	"""middle"""	"""bicycle1,"""	"""bicycle1,"""	undefined	"""left"""	"""bicycle1,"""	0	-1	0	1	1	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""How many car's and bikes's were in each house and which one i thought Bob would choose"""	""""""	"""28"""	"""M"""	11	0	0	2	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3X0H8UUIT1PH51E2GRREAPLNFGUWSE	A27QLSB53XTM7U	Submitted	Tue Jun 09 15:02:32 PDT 2015	Mon Jun 08 15:01:43 PDT 2015	Mon Jun 08 15:02:32 PDT 2015						"""house"""	"""car2"""	"""right"""	"""bicycle2,car1,"""	""""""	"""car1,"""	"""left"""	"""bicycle2,car1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""if we like cars or bikes"""	""""""	"""30"""	"""f"""	9	0	0	2	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3U8YCDAGXPHCKVY4VG9O8UXIWNUQ0H	A2AMSSBUJF4PY5	Submitted	Tue Jun 09 15:02:41 PDT 2015	Mon Jun 08 15:02:08 PDT 2015	Mon Jun 08 15:02:41 PDT 2015						"""plate"""	"""fork1"""	"""right"""	"""fork1,"""	"""fork1,"""	"""fork1,fork2,"""	"""left"""	"""fork1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""What plate Bob was looking at"""	""""""	"""21"""	"""F"""	9	0	2	0	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	33OOO72IVHM963LCO0W380A6PJQTCR	A1HK7CR71C8BCA	Submitted	Tue Jun 09 15:02:43 PDT 2015	Mon Jun 08 15:00:23 PDT 2015	Mon Jun 08 15:02:43 PDT 2015						"""lunchbox"""	"""apple1"""	"""left"""	"""apple2,"""	"""apple2,cookie1,"""	undefined	"""middle"""	"""apple2,cookie1,"""	0	-1	0	1	16	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Lunchbox, choice."""	"""Fast."""	"""37"""	"""Female"""	11	0	0	2	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	333U7HK6I9GPXSVLC2DAQ05FCHBJDC	AAO99PANYUZQ3	Submitted	Tue Jun 09 15:02:45 PDT 2015	Mon Jun 08 15:01:08 PDT 2015	Mon Jun 08 15:02:45 PDT 2015						"""plate"""	"""fork1"""	"""left"""	"""fork1,fork2,"""	"""fork1,"""	undefined	"""left"""	"""fork1,fork2,"""	0	-1	0	1	15	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Doubled_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""probability"""	""""""	"""27"""	"""m"""	10	0	0	2	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3ZPBJO59KP2T6M0VO2APENP0ZP7HD5	A1HKB73TUJ5Z42	Submitted	Tue Jun 09 15:02:53 PDT 2015	Mon Jun 08 15:01:04 PDT 2015	Mon Jun 08 15:02:53 PDT 2015						"""lunchbox"""	"""apple1"""	"""left"""	"""apple1,apple2,"""	"""apple2,cookie1,"""	undefined	"""left"""	"""apple1,apple2,"""	0	-1	0	1	1	0	0	"""2"""	"""1"""	-1	"""FALSE"""	"""Doubled_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""He loves lunch boxes, and buys a new lunch box every week. He can only use one word to communicate which lunch box he wants, so he says 'apple' (one lunch box has 2 apples on it, one has 1 apple and 1 cookie on it)"""	""""""	"""46"""	"""f"""	10	0	2	1	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3COPXFW7XBDTX94TZW4HR9MH5PFKPR	A2O3VMCPGWZ176	Submitted	Tue Jun 09 15:03:07 PDT 2015	Mon Jun 08 15:02:28 PDT 2015	Mon Jun 08 15:03:07 PDT 2015						"""plate"""	"""fork1"""	"""middle"""	"""fork2,spoon1,"""	"""fork1,fork2,"""	"""fork2,"""	"""right"""	"""fork2,"""	0	-1	0	1	1	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""One_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""plates"""	"""No"""	"""21"""	"""m"""	9	0	0	1	2	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	39K0FND3AHGH0TYUVPZ0GRPQV89MAH	A2I5ECHDAICO0R	Submitted	Tue Jun 09 15:03:26 PDT 2015	Mon Jun 08 15:02:07 PDT 2015	Mon Jun 08 15:03:26 PDT 2015						"""plate"""	"""fork1"""	"""middle"""	"""fork2,spoon1,"""	"""fork1,fork2,"""	undefined	"""left"""	"""fork2,spoon1,"""	0	-1	0	1	15	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Bob and his plates"""	""""""	""""""	""""""	10	0	0	2	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	34PGFRQONOCO6YVCTXI0IOU0JXHJWL	A1A3TGZ7DKJWRW	Submitted	Tue Jun 09 15:03:27 PDT 2015	Mon Jun 08 15:02:35 PDT 2015	Mon Jun 08 15:03:27 PDT 2015						"""plate"""	"""spoon2"""	"""middle"""	"""fork1,"""	"""spoon1,"""	undefined	"""middle"""	"""spoon1,"""	0	-1	0	1	15	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""One_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""plates, spoons and forks"""	"""none"""	"""25"""	"""m"""	11	0	2	1	0	"""3"""	0	-1
